,cell_diameter,cell_length,doubling_h,growth_tmp,optimum_tmp,optimum_ph,genome_size,gc_content,coding_genes,rRNA16S_genes,tRNA_genes
Zotu3370,0.02466,0.1006,0.7559,29.55,33.67,7.096,7850000,72.25,5223,4.478,56.15
Zotu33700,-0.2462,0.1426,0.8482,28.23,31.38,7.048,3850000,59.64,3847,2.545,48.92
Zotu33701,-0.251,0.2404,0.7286,37.47,31.34,6.874,4100000,57.56,3526,1.571,47.87
Zotu33702,-0.2143,0.2743,0.4322,27.64,28.25,5.808,4240000,64.08,5015,2.666,55.1
Zotu33703,-0.2232,0.194,0.6168,43.44,40.65,7.06,3630000,61.64,3777,2.166,49.16
Zotu33704,-0.251,0.2404,0.7286,37.47,31.34,6.874,4100000,57.56,3526,1.571,47.87
Zotu33705,-0.09736,0.3789,0.7531,46.07,48.19,7.261,1450000,47.08,1344,2.226,43.7
Zotu33706,-0.251,0.2404,0.7286,37.47,31.34,6.874,4100000,57.56,3526,1.571,47.87
Zotu33707,-0.334,0.3497,0.7175,32.25,40.46,6.883,5870000,66.62,4908,1.779,48.33
Zotu33709,-0.3911,0.2472,0.3714,31.71,30.89,6.738,5740000,45.34,5831,4.091,57.48
Zotu3371,-0.251,0.2404,0.7286,37.47,31.34,6.874,4100000,57.56,3526,1.571,47.87
Zotu33710,-0.3006,0.1497,0.4323,33.82,33.17,7.423,3220000,54.5,2901,2.543,48.53
Zotu33711,-0.1855,0.1459,0.9006,51.88,50.16,7.16,3820000,56.05,2978,1.788,48.15
Zotu33712,0.001002,0.07812,1.014,28.21,27.47,7.026,6520000,56.41,5315,1.541,56.17
Zotu33714,-0.2876,0.3236,0.6248,51.71,54.15,7.064,2470000,47.51,2327,2.519,49.61
Zotu33715,-0.08487,0.4097,0.8053,29.29,31.02,7.632,3960000,57.86,3489,1.489,45.52
Zotu33716,-0.168,0.3901,0.9541,32.64,35.01,7.192,5610000,54.94,4417,2.353,48.87
Zotu33717,-0.359,0.05029,0.3235,27.21,31.29,7.265,3520000,62.23,3308,2.391,49.22
Zotu33718,0.08168,0.1908,0.9977,29.57,28.5,6.084,6990000,59.98,5311,2.103,58.59
Zotu33719,-0.3818,0.3525,1.178,29.71,29.6,6.901,4250000,57.93,3638,2.952,51.3
Zotu3372,-0.3093,0.177,0.6168,40.96,34.79,5.364,2190000,59.66,4057,2.232,49.27
Zotu33721,-0.2733,0.2443,0.3754,33.61,32.52,7.171,3530000,61.27,3398,2.378,49.18
Zotu33722,-0.4496,0.1459,1.689,42.94,42.51,7.088,3760000,53.41,2730,1.61,47.64
Zotu33723,-0.2801,0.08603,0.4165,27.76,27.41,6.847,5360000,67.72,5303,2.888,58.75
Zotu33724,0.191,0.2577,0.9977,26.55,26.22,6.084,8760000,59.98,5311,2.103,58.59
Zotu33725,-0.286,0.225,0.47,56.16,54.88,6.732,2410000,47.46,2627,2.931,55.02
Zotu33727,-0.2876,0.3236,0.6248,51.71,54.15,7.064,2470000,47.51,2327,2.519,49.61
Zotu33728,-0.334,0.3497,0.7175,32.25,40.46,6.883,3480000,48.56,3186,2.098,48.56
Zotu33729,-0.1216,0.262,0.7953,53.25,54.55,7.252,3870000,56.7,3006,1.97,48.65
Zotu3373,-0.251,0.2404,0.7286,37.47,31.34,6.874,4100000,57.56,3526,1.571,47.87
Zotu33730,-0.1187,0.5969,0.8953,30.09,30.48,7.802,8450000,66.23,7352,2.613,57.21
Zotu33731,-0.08487,0.4097,0.8053,30.6,31.02,7.632,3960000,57.86,3489,1.489,45.52
Zotu33732,-0.2663,0.3599,0.4745,20.24,20.48,7.179,5680000,49.76,5079,10.3,89.53
Zotu33734,-0.1493,0.5362,0.8953,30.86,30.66,7.86,9380000,67.92,7465,2.645,57.6
Zotu33735,-0.2484,0.1686,0.6168,35.62,33.48,7.041,4910000,62.52,4057,2.232,49.27
Zotu33736,-0.286,0.225,0.47,56.16,54.88,6.732,2410000,47.46,2627,2.931,55.02
Zotu33737,-0.08173,0.5796,0.7953,48.11,48.5,7.542,5820000,59.35,3830,2.354,48.45
