ID	YD16L1	YD16L2	YD16L3	YD16L4	YD17L1	YD17L2	YD17L3	YD17L4	YD18L1	YD18L2	YD18L3	YD18L4	YD1L1	YD1L2	YD1L3	YD1L4	YD22L1	YD22L2	YD22L3	YD22L4	YD23L1	YD23L2	YD23L3	YD23L4	YD24L1	YD24L2	YD24L3	YD24L4	YD2L1	YD2L2	YD2L3	YD2L4	YD31L1	YD31L2	YD31L3	YD31L4	YD32L1	YD32L2	YD32L3	YD32L4	YD33L1	YD33L2	YD33L3	YD33L4	YD3L1	YD3L2	YD3L4	YD43L1	YD43L2	YD43L3	YD43L4	YD44L1	YD44L2	YD44L3	YD44L4	YD45L1	YD45L2	YD45L3	YD45L4	YD46L1	YD46L2	YD46L3	YD46L4	YD47L1	YD47L2	YD47L3	YD47L4	YD48L1	YD48L2	YD48L3	YD48L4	YD3L3
Zotu180	0	0	0	0	0	1	1	0	0	0	8	0	6	0	0	0	1	0	7	0	1	0	5	0	3	2	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	3	2	0	0	7	0	0	0	0	4	0	0	0	0	0	0	0
Zotu3699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu15	5	10	1	0	4	7	0	1	10	6	2	146	1	6	630	3	7	11	0	2	20	6	3	0	11	0	1	1	1	10	1	0	4	4	18	0	3	0	17	0	6	4	0	0	0	5	3	2	1	7	2	8	1	0	0	57	1	0	3	5	2	0	0	12	3	149	5	10	2	5	1	7
Zotu570	6	0	3	0	3	0	0	0	5	2	0	0	0	0	0	0	29	1	0	0	3	6	1	0	0	0	0	0	1	0	0	0	3	1	0	0	0	0	0	0	11	3	0	0	4	0	0	0	1	0	0	7	0	0	0	4	0	1	0	16	0	0	0	0	0	0	0	0	0	0	0	1
Zotu139	6	9	1	2	20	32	2	3	14	84	29	0	132	8	0	1	23	5	2	0	17	10	4	1	72	0	1	0	13	11	2	0	14	21	2	13	7	3	2	0	18	7	2	1	9	0	1	2	4	0	1	81	0	3	2	44	7	4	2	114	0	0	0	7	2	8	2	24	0	2	0	0
Zotu250	84	7	1	0	4	6	0	0	1	23	0	0	0	7	0	0	1	4	0	0	3	6	0	0	88	0	0	0	3	8	0	0	59	0	0	0	0	0	0	0	23	2	0	0	0	1	0	42	0	0	0	81	0	0	0	85	0	1	0	8	0	0	0	4	0	0	0	26	0	1	0	0
Zotu1102	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Zotu69	29	30	5	0	34	4	0	1	9	3	0	26	38	1	2	2	35	5	0	0	13	26	7	0	21	0	1	0	24	4	1	0	23	8	1	0	0	0	24	0	68	6	0	17	1	2	1	6	9	1	5	813	2	8	2	68	7	5	3	7	3	1	0	26	9	0	2	27	3	5	0	2
Zotu135	6	16	4	0	20	6	3	2	16	5	5	1	148	12	8	0	15	2	6	0	11	8	5	1	21	0	0	0	3	6	2	2	74	20	8	3	5	0	6	0	20	20	0	17	13	39	2	9	0	7	1	39	1	0	8	27	2	3	2	31	0	13	8	16	0	5	1	34	3	3	2	2
Zotu1117	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0
Zotu2516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0
Zotu1291	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0
Zotu653	31	3	3	0	4	0	1	0	2	0	0	1	1	0	0	0	4	0	0	1	20	4	2	1	34	0	0	0	8	0	0	0	56	0	0	0	56	0	0	0	2	9	0	0	2	0	2	0	0	0	0	72	0	0	0	0	0	0	0	9	0	0	0	12	7	0	0	11	0	0	1	0
Zotu1368	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu166	3	1	0	1	1	2	0	1	1	0	1	14	0	0	39	0	1	4	3	3	2	1	5	0	0	0	0	0	0	0	1	5	2	0	1	0	1	1	5	1	4	3	0	10	0	0	1	0	3	1	3	0	0	3	3	0	5	0	3	0	0	0	0	2	1	25	0	1	3	2	0	1
Zotu360	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	0	0	2	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	1	0	0	2	0	0	0	0	0	0	0	0	0	0	75	0	1	0	0	0	0
Zotu1001	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Zotu1137	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	20	1	0	1
