ID	YD16L1	YD16L2	YD16L3	YD16L4	YD17L1	YD17L2	YD17L3	YD17L4	YD18L1	YD18L2	YD18L3	YD18L4	YD1L1	YD1L2	YD1L3	YD1L4	YD22L1	YD22L2	YD22L3	YD22L4	YD23L1	YD23L2	YD23L3	YD23L4	YD24L1	YD24L2	YD24L3	YD24L4	YD2L1	YD2L2	YD2L3	YD2L4	YD31L1	YD31L2	YD31L3	YD31L4	YD32L1	YD32L2	YD32L3	YD32L4	YD33L1	YD33L2	YD33L3	YD33L4	YD3L1	YD3L2	YD3L4	YD43L1	YD43L2	YD43L3	YD43L4	YD44L1	YD44L2	YD44L3	YD44L4	YD45L1	YD45L2	YD45L3	YD45L4	YD46L1	YD46L2	YD46L3	YD46L4	YD47L1	YD47L2	YD47L3	YD47L4	YD48L1	YD48L2	YD48L3	YD48L4	YD3L3
Zotu264	0	0	1	0	0	0	7	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	10	0	0	0	1	0	0	0	0	0	1	3	0	0	2	3	0	0	1	3	0	0	0	6	0	0	0	3	0	0	3	11	0
Zotu265	0	1	132	64	0	6	10	20	0	2	12	24	0	1	17	23	0	1	12	22	0	2	2	0	0	0	7	9	0	0	0	1	0	0	5	2	0	1	0	7	0	0	10	7	0	0	8	0	1	19	7	2	0	32	25	0	0	2	3	0	9	41	102	2	2	12	52	3	19	31	9	4
Zotu268	0	0	0	29	1	0	7	26	0	0	3	1	1	0	0	6	0	1	0	0	0	0	0	3	0	0	1	10	0	0	0	29	0	0	1	8	0	0	1	5	0	0	8	22	0	0	3	0	0	5	30	1	0	34	58	0	0	1	6	1	0	0	1	3	5	12	25	2	1	11	9	0
Zotu279	0	1	13	11	0	4	29	10	2	3	10	33	0	0	2	2	1	3	4	17	0	3	6	1	0	2	6	1	0	1	0	3	0	0	0	2	0	2	8	30	0	0	1	3	0	1	14	1	0	6	21	0	0	51	69	0	3	18	15	0	1	5	0	0	7	4	12	0	6	195	16	18
Zotu281	0	0	1	100	0	0	0	0	0	0	0	2	0	0	8	2	0	0	0	1	0	0	1	32	0	0	20	82	0	0	8	97	0	0	3	26	0	0	12	34	0	0	0	0	0	0	2	0	0	6	3	0	1	17	217	0	0	2	10	0	0	4	9	0	0	5	54	1	0	28	88	3
Zotu284	12	0	8	1	0	0	0	0	1	0	1	1	3	3	10	29	0	0	8	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	19	0	1	2	0	0	2	0	0	0	1	1	3	0	12	2	0	1	0	0	3	0	47	29	0	0	0	0	0	0	0	0	13
Zotu290	1	6	47	34	0	0	1	15	8	7	26	53	0	1	6	2	2	0	7	13	0	0	2	2	2	0	31	41	4	9	4	10	0	1	4	2	0	6	5	14	0	4	18	3	3	44	74	2	1	12	47	1	0	4	28	0	6	6	26	1	1	38	42	2	8	0	34	0	2	6	1	36
Zotu296	1	1	15	74	0	0	5	3	5	4	25	45	0	1	18	21	1	0	15	20	0	0	0	1	0	3	8	48	0	1	3	45	0	0	3	5	0	2	0	2	0	2	1	5	0	0	4	0	1	6	1	1	0	21	18	0	0	29	14	0	2	4	9	0	0	11	12	3	3	4	0	0
Zotu299	0	0	7	10	1	2	6	4	3	0	2	7	1	0	3	1	0	0	0	0	0	7	1	4	2	0	0	6	3	4	4	7	1	0	0	2	1	5	1	5	0	2	1	3	1	2	3	1	2	3	6	3	0	1	7	2	0	2	5	0	1	5	1	4	2	1	15	1	2	4	1	6
Zotu306	0	0	2	25	0	0	1	0	0	2	1	50	0	28	0	49	0	0	0	0	0	0	2	1	0	0	3	51	0	0	0	7	0	0	1	1	0	0	0	4	0	0	3	1	0	0	1	1	3	55	21	0	0	0	63	0	6	63	1	0	0	38	96	0	0	10	3	0	0	0	53	13
Zotu308	0	1	0	0	3	0	0	0	0	7	3	0	2	0	0	10	10	2	1	2	11	0	74	0	1	0	9	1	1	19	1	0	0	0	27	1	66	0	0	19	1	1	0	0	0	14	0	0	2	0	1	0	0	0	0	9	3	65	8	1	27	0	0	0	2	0	0	0	0	2	0	3
Zotu309	0	0	0	0	0	0	2	1	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	1	0	1	1	0	0	0	0	0	0	1	1	2	0	2	0	2	0	0	2	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	3	1	1	0	1	0	0	0	0	1
Zotu312	0	1	1	0	3	0	0	10	2	0	0	0	0	0	0	0	11	0	0	1	8	28	4	3	1	0	2	2	0	0	0	0	2	0	1	1	8	3	3	3	0	2	0	6	1	0	0	0	0	3	1	41	0	4	0	0	0	2	0	0	1	1	0	31	1	0	1	40	1	2	0	0
Zotu317	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	5	0	0	1	25	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145
Zotu321	0	0	0	3	1	1	1	4	1	0	1	2	0	1	1	0	3	1	1	2	0	1	2	0	3	1	1	6	0	1	5	1	3	0	0	5	0	3	0	3	0	2	3	4	2	1	1	2	0	2	1	0	0	6	6	1	1	2	1	0	0	0	0	0	1	0	6	1	3	5	1	0
Zotu322	0	0	1	0	0	0	2	22	0	0	7	14	0	0	0	4	0	0	0	6	0	0	2	7	0	0	0	2	0	0	0	0	0	0	0	1	0	0	3	5	0	0	1	0	0	4	18	1	0	3	0	1	0	9	9	0	0	0	0	0	0	0	4	0	2	5	5	0	0	5	25	7
Zotu323	0	0	0	0	0	0	0	0	0	0	0	2	8	2	1	36	0	0	0	0	0	0	0	0	0	0	0	9	8	0	7	6	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	14	0	0	0	0	1	0	0	0	0	2	14	1	0	0	3	28	3	1	2	5	0
Zotu327	0	0	3	0	0	0	0	0	1	4	0	1	0	0	0	0	0	0	13	0	0	1	3	0	0	4	1	0	0	3	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	2	0	0	0	1	1	0	0	0	0	0	2	2	1	0	0	0	0	0	2	0	0	0	1	0	0	0
Zotu328	0	0	3	1	1	0	7	11	6	1	0	33	1	0	0	0	2	2	4	12	0	9	2	1	2	0	10	16	2	1	1	4	0	0	0	15	1	2	1	10	0	0	8	1	1	4	1	2	1	12	29	3	1	34	15	0	4	44	51	0	0	14	12	2	2	6	9	2	1	12	34	5
Zotu335	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu339	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	1	0	1	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0
Zotu348	0	0	0	3	0	0	0	5	0	0	2	2	0	0	0	0	0	0	2	2	0	0	0	5	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	48	0	0	2	0	0	1	1	0	1	0	2	0	0	0	2	0	0	3	7	0	0	1	3	0	0	0	11	2	0	1	10	0
Zotu350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	54	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu355	0	1	16	4	3	20	33	4	0	5	7	25	0	0	16	4	2	4	20	4	7	23	27	11	0	5	6	8	0	3	0	3	1	0	3	6	1	5	4	2	0	6	7	6	0	1	10	0	2	24	1	4	0	14	20	0	4	14	6	0	0	4	3	7	1	2	6	1	3	0	1	12
Zotu359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	1	0	0	1	1	0	0	0	0	1	0	0	17	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	42	0	12	0	1	3	0	0	0	1
Zotu360	2	2	2	3	5	0	7	13	3	4	2	9	1	1	1	5	3	2	5	7	1	6	10	13	5	1	3	21	2	3	0	3	2	1	4	3	1	9	2	8	0	2	4	12	6	11	11	9	0	1	3	5	1	10	3	2	0	0	9	1	1	6	12	11	1	3	4	4	5	4	2	12
Zotu362	1	0	0	0	0	0	0	1	2	0	1	0	3	64	0	0	4	0	0	0	1	6	1	0	2	3	0	0	2	3	0	0	5	0	1	0	0	2	0	0	2	1	1	0	0	0	2	1	2	2	0	0	0	0	0	0	0	7	0	0	0	1	0	0	4	0	0	2	12	3	0	0
Zotu364	2	0	0	2	0	0	0	0	0	0	0	6	0	0	0	2	0	0	0	1	0	2	5	17	0	0	2	2	0	0	0	1	0	0	1	0	0	1	2	6	0	0	0	0	1	1	1	2	0	1	2	0	0	0	1	0	0	0	1	0	0	3	6	0	0	1	3	0	1	0	10	3
Zotu366	0	0	2	14	4	2	15	31	0	0	4	4	0	1	3	8	0	2	4	2	0	2	2	6	0	0	1	15	1	2	0	3	1	1	0	10	2	2	2	9	1	0	1	1	1	1	2	0	0	2	10	1	0	2	5	0	0	3	38	0	0	3	11	3	0	2	3	1	4	4	5	5
Zotu373	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0
Zotu382	1	0	0	0	1	0	0	0	0	0	0	0	15	2	7	0	12	5	0	0	0	0	0	0	1	2	0	0	9	1	0	0	0	0	0	0	0	0	0	0	12	3	0	4	0	0	0	1	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	90	0	0	0	5	0	0	0	0
Zotu384	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	1	4	0	1	1	1	2	0	6	0	0	0	0	3	0	0	0	1	0	0	1	0	0	8	1	1	1	0	0	1	0	0	4	0	1	3	4	0	3	0	1	0	0	1	0	0	3	0	4	1	0	0	1	0	0	0	2
Zotu385	0	1	3	2	1	0	1	0	0	5	1	0	2	0	1	1	0	3	1	0	0	4	2	3	1	4	4	0	6	4	5	5	0	0	0	3	0	1	0	0	0	17	23	6	0	0	0	0	3	4	1	1	0	2	0	0	1	3	0	1	4	5	0	2	4	2	4	2	4	4	0	1
Zotu386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Zotu392	0	0	3	0	0	1	0	18	0	6	0	25	0	0	0	20	0	0	3	16	0	0	0	12	0	0	0	9	0	0	1	26	0	0	2	4	1	5	2	13	2	1	13	3	0	0	66	0	0	3	2	1	0	17	72	0	0	7	8	0	1	11	21	0	0	7	14	0	0	17	27	5
Zotu394	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	2	2	0	0	1	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	1	0	0	0	5	0	1	0	1	0	1	0	1	0
Zotu397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu398	3	2	3	0	8	2	0	3	1	4	4	0	0	0	1	0	7	2	2	0	3	13	2	1	1	0	2	3	4	0	1	3	6	1	6	5	3	1	1	3	1	1	3	1	0	1	0	0	1	1	0	6	0	4	6	4	2	3	5	1	0	21	4	11	1	0	1	6	0	2	0	1
Zotu401	0	0	0	5	0	0	3	25	0	0	1	11	0	0	4	8	0	5	2	10	0	0	8	31	0	0	1	14	0	0	2	5	0	0	0	4	3	12	2	14	0	0	0	9	1	5	4	0	0	5	8	1	0	8	20	0	0	4	8	0	1	4	2	1	1	1	6	0	1	15	4	8
Zotu403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	3	0	0	0	0	0
Zotu404	1	0	0	0	3	0	2	3	1	0	0	0	1	2	0	0	5	0	2	0	2	1	0	1	2	2	0	0	4	1	0	0	1	0	0	6	0	4	0	3	1	0	0	2	1	1	0	2	0	3	0	6	0	4	0	0	0	1	3	0	0	1	5	3	3	2	0	7	1	1	3	1
Zotu406	2	2	4	22	0	0	0	0	0	1	0	10	0	0	5	2	1	0	1	0	0	0	0	0	0	0	0	8	3	3	4	48	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	3	6	0	2	2	0	0	2	5	0	0	1	10	6	0	1	0	0	0	0	4	8	0
Zotu407	1	1	7	32	1	0	10	16	2	2	3	1	1	1	4	8	1	2	4	14	1	7	2	6	0	7	1	12	0	1	4	10	0	0	2	4	0	2	0	6	1	8	1	3	0	2	28	0	0	4	16	1	0	16	26	0	1	10	13	0	3	6	11	1	2	4	0	1	2	6	8	7
Zotu409	0	0	0	0	0	0	0	0	0	0	1	0	5	0	0	0	1	1	0	0	3	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
